french,wolof
"Aussi, quand les Samaritains vinrent le trouver, ils le prièrent de rester auprès d`eux. Et il resta là deux jours.","Ñu daldi dikk ñaan Yeesu, mu dal ak ñoom. Yeesu toog fa ñaari fan."
Un beaucoup plus grand nombre crurent à cause de sa parole;,Ñu bare gëm ko ndax li mu doon wax.
"et ils disaient à la femme: Ce n`est plus à cause de ce que tu as dit que nous croyons; car nous l`avons entendu nous-mêmes, et nous savons qu`il est vraiment le Sauveur du monde.","Ñu ne jigéen ja: «Léegi gëm nanu, te du li nga wax moo tax waaye li nu gisal sunu bopp. Te xam nanu ne, dëgg-dëgg kii moo di Musalkatu àddina si.»"
"Après ces deux jours, Jésus partit de là, pour se rendre en Galilée;","Bi Yeesu amee ñaari fan ca dëkk ba, mu jóge fa, jëm diiwaanu Galile,"
car il avait déclaré lui-même qu`un prophète n`est pas honoré dans sa propre patrie.,"ndaxte moom ci boppam nee woon na: «Ab yonent, kenn du ko faaydaal ca réewam.»"
"Lorsqu`il arriva en Galilée, il fut bien reçu des Galiléens, qui avaient vu tout ce qu`il avait fait à Jérusalem pendant la fête; car eux aussi étaient allés à la fête.","Bi mu agsee Galile, nit ñi teeru ko, ndaxte ñoom itam teewoon nañu ca màggalu bésu Jéggi ba ca Yerusalem, te gisoon nañu la mu fa defoon lépp."
"Il retourna donc à Cana en Galilée, où il avait changé l`eau en vin. Il y avait à Capernaüm un officier du roi, dont le fils était malade.","Noonu kon mu dellusi Kana ci Galile, dëkk ba mu soppe woon ndox ma biiñ. Amoon na benn dagu buur bu dëkkoon Kapernawum te doomam feebar."
"Ayant appris que Jésus était venu de Judée en Galilée, il alla vers lui, et le pria de descendre et de guérir son fils, qui était près de mourir.","Bi mu déggee ne, Yeesu jóge na Yude, ñëw Galile, mu dikk ci moom, ñaan ko mu ñëw këram, wéral doomam, ji wopp bay bëgg a dee."
"Jésus lui dit: Si vous ne voyez des miracles et des prodiges, vous ne croyez point.","Yeesu ne ko: «Yéen daal, dungeen gëm mukk, fi ak gisuleen ay firnde walla ay kéemaan.»"
"L`officier du roi lui dit: Seigneur, descends avant que mon enfant meure.","Dagu buur ba neeti ko: «Sang bi, ñëwal, bala sama doom di dee.»"
"Va, lui dit Jésus, ton fils vit. Et cet homme crut à la parole que Jésus lui avait dite, et il s`en alla.","Yeesu ne ko: «Demal, sa doom dina dund.» Kilifa ga gëm la ko Yeesu wax, daldi dem."
"Comme déjà il descendait, ses serviteurs venant à sa rencontre, lui apportèrent cette nouvelle: Ton enfant vit.","Bi muy dellu këram nag, ay surgaam gatandu ko. Ñu daldi ne ko: «Xale bi dina dund!»"
"Il leur demanda à quelle heure il s`était trouvé mieux; et ils lui dirent: Hier, à la septième heure, la fièvre l`a quitté.","Mu laaj leen ci ban waxtu la tàmbalee tane, ñu tontu ko ne: «Démb ca njolloor la am ag féex.»"
"Le père reconnut que c`était à cette heure-là que Jésus lui avait dit: Ton fils vit. Et il crut, lui et toute sa maison.","Noonu baayu xale ba daldi seetlu ne, ca waxtu woowa la ko Yeesu ne woon: «Sa doom dina dund.» Moom ak njabootam gépp, ñu daldi gëm Yeesu."
Jésus fit encore ce second miracle lorsqu`il fut venu de Judée en Galilée.,"Lii mooy ñaareelu firnde, bi Yeesu def ci Galile, gannaaw bi mu jógee Yude."
"Après cela, il y eut une fête des Juifs, et Jésus monta à Jérusalem.","Gannaaw loolu Yawut ya amoon nañu genn màggal, moo tax Yeesu demoon Yerusalem."
"Or, à Jérusalem, près de la porte des brebis, il y a une piscine qui s`appelle en hébreu Béthesda, et qui a cinq portiques.","Ca wetu benn ci bunti dëkk ba nag, maanaam ca Buntu xar ya, am na fa bët bu tudd Betesda ci làkku yawut, te ñu wërale ko ak juróomi mbaar."
"Sous ces portiques étaient couchés en grand nombre des malades, des aveugles, des boiteux, des paralytiques, qui attendaient le mouvement de l`eau;","Ca suufu mbaar yooyu la jarag yu bare, yu deme niki ay gumba, ay lafañ ak ay làggi, daan tëdd, di xaar ndox mi yengatu;"
"car un ange descendait de temps en temps dans la piscine, et agitait l`eau; et celui qui y descendait le premier après que l`eau avait été agitée était guéri, quelle que fût sa maladie.","ndaxte, ci ni ñu ko nettalee, benn malaakam Boroom bi da daan wàcc léeg-léeg di jax ndox mi. Bu ndox mi masaa yengu ba noppi, jarag ju ca jiitu, wopp joo amaan, daldi wér ca saa sa."
Là se trouvait un homme malade depuis trente-huit ans.,Amoon na fa benn waay bu feebaroon lu mat fanweeri at ak juróom ñett.
"Jésus, l`ayant vu couché, et sachant qu`il était malade depuis longtemps, lui dit: Veux-tu être guéri?","Bi ko Yeesu séenee mu tëdd, te mu xam ne, woppam ji yàggoon na lool, mu laaj ko ne: «Ndax bëgg ngaa wér?»"
"Le malade lui répondit: Seigneur, je n`ai personne pour me jeter dans la piscine quand l`eau est agitée, et, pendant que j`y vais, un autre descend avant moi.","Jarag ja tontu ko ne: «Sang bi, duma am ku ma sóob ci ndox mi, bu yengoo; su ma ciy fexee dem, ñu jëkk ma ci.»"
"Lève-toi, lui dit Jésus, prends ton lit, et marche.","Yeesu ne ko: «Jógal, jël sa basaŋ te dox.»"
"Aussitôt cet homme fut guéri; il prit son lit, et marcha.","Ca saa sa mu daldi wér, jël basaŋam, daldi dox. Mbir moomu dafa daje woon ak bésu noflaay ba,"
C`était un jour de sabbat. Les Juifs dirent donc à celui qui avait été guéri: C`est le sabbat; il ne t`est pas permis d`emporter ton lit.,"looloo tax ba Yawut ya daldi ne nit ku wér ka: «Tey bésu noflaay la, te sunu yoon aaye na, ngay yor sa basaŋ.»"
"Il leur répondit: Celui qui m`a guéri m`a dit: Prends ton lit, et marche.",Mu ne leen: «Ki ma faj moo ma ne: “Jëlal sa basaŋ te dox.”»
"Ils lui demandèrent: Qui est l`homme qui t`a dit: Prends ton lit, et marche?",Ñu ne ko nag: «Ku la ne: “Jëlal sa basaŋ te dox?”»
Mais celui qui avait été guéri ne savait pas qui c`était; car Jésus avait disparu de la foule qui était en ce lieu.,"Waaye waa ji xamul ki ko wéral, fekk booba Yeesu dem na, te nit ñu bare teewoon nañu ca bérab ba."
"Depuis, Jésus le trouva dans le temple, et lui dit: Voici, tu as été guéri; ne pèche plus, de peur qu`il ne t`arrive quelque chose de pire.","Bi ñu ca tegee ab diir, Yeesu dajeek moom ca kër Yàlla ga ne ko: «Déglul, fii mu ne, wér nga; bul defati bàkkaar, ngir ragal lu yées lii dal la.»"
"Cet homme s`en alla, et annonça aux Juifs que c`était Jésus qui l`avait guéri.","Noonu nit ka dellu ne Yawut ya, Yeesu moo ko fajoon."
"C`est pourquoi les Juifs poursuivaient Jésus, parce qu`il faisait ces choses le jour du sabbat.","Looloo tax Yawut ya di wut a sonal Yeesu, ndaxte daan na jëfe noonu ca bésu noflaay ba."
"Mais Jésus leur répondit: Mon Père agit jusqu`à présent; moi aussi, j`agis.","Waaye Yeesu tontu na leen ne: «Sama Baay nekk na ba tey ci liggéey, kon man itam damay liggéey.»"
"A cause de cela, les Juifs cherchaient encore plus à le faire mourir, non seulement parce qu`il violait le sabbat, mais parce qu`il appelait Dieu son propre Père, se faisant lui-même égal à Dieu.","Baat boobu moo tax ba Yawut yi gën koo wut a rey, ndaxte yemul woon rekk ci bañ a topp ndigalu bésu noflaay ba, waaye dafa wax it ne, Yàlla Baayam la, ba teg boppam Yàlla."
"Jésus reprit donc la parole, et leur dit: En vérité, en vérité, je vous le dis, le Fils ne peut rien faire de lui-même, il ne fait que ce qu`il voit faire au Père; et tout ce que le Père fait, le Fils aussi le fait pareillement.","Noonu Yeesu ne leen: «Ci dëgg-dëgg maa ngi leen koy wax, Doom ji mënul a def dara moom ci boppam; li mu gis Baay bi di def rekk lay def. Li Baay bi di jëf la Doom ji itam di jëf."
"Car le Père aime le Fils, et lui montre tout ce qu`il fait; et il lui montrera des oeuvres plus grandes que celles-ci, afin que vous soyez dans l`étonnement.","Ndaxte Baay bi bëgg na Doom ji, ba di ko won lépp lu muy def, te dina ko won jëf yu ëpp kéemaan yii, ngir ngeen gën a waaru."
"Car, comme le Père ressuscite les morts et donne la vie, ainsi le Fils donne la vie à qui il veut.","Maanaam, ni Baay bi di dekkale ñu dee ñi, di leen jox dund, noonu la Doom ji di joxe dund ñi mu ko bëgg a jox."
"Le Père ne juge personne, mais il a remis tout jugement au Fils,","Baay bi du àtte kenn; àtte bi yépp, jox na ko Doom ji,"
afin que tous honorent le Fils comme ils honorent le Père. Celui qui n`honore pas le Fils n`honore pas le Père qui l`a envoyé.,"ngir ñépp di teral Doom ji, ni ñuy terale Baay bi. Ku teralul Doom ji, teraloo Baay, bi ko yónni."
"En vérité, en vérité, je vous le dis, celui qui écoute ma parole, et qui croit à celui qui m`a envoyé, a la vie éternelle et ne vient point en jugement, mais il est passé de la mort à la vie.","«Ci dëgg-dëgg maa ngi leen koy wax, ku dégg sama kàddu te gëm ki ma yónni, am nga dund gu dul jeex te doo jaar ca àtte ba, ndaxte génn nga ci dee, tàbbi ci dund."
"En vérité, en vérité, je vous le dis, l`heure vient, et elle est déjà venue, où les morts entendront la voix du Fils de Dieu; et ceux qui l`auront entendue vivront.","Ci dëgg-dëgg maa ngi leen koy wax, jamono dina ñëw te agsi na ba noppi, mooy jamono, ji ñu dee ñi di dégg baatu Doomu Yàlla ji, te ku ko dégg dinga dund."
"Car, comme le Père a la vie en lui-même, ainsi il a donné au Fils d`avoir la vie en lui-même.","Ndaxte ni Baay bi ame dund moom ci boppam, noonu it la ko maye Doom ji, mu am ko ci boppam."
"Et il lui a donné le pouvoir de juger, parce qu`il est Fils de l`homme.","Jox na Doom ji itam sañ-sañu àtte, ndaxte mooy Doomu nit ki."
"Ne vous étonnez pas de cela; car l`heure vient où tous ceux qui sont dans les sépulcres entendront sa voix, et en sortiront.","«Bu leen ci dara jaaxal; ndaxte jamonoo ngi ñëw ju néew yépp, yi nekk ci seen bàmmeel, di dégg baatam tey génn."
"Ceux qui auront fait le bien ressusciteront pour la vie, mais ceux qui auront fait le mal ressusciteront pour le jugement.","Ñi daan jëf lu baax dinañu dekki, dund ba fàww, waaye ñi daan jëf lu bon, dinañu dekki, ñu daan leen."
"Je ne puis rien faire de moi-même: selon que j`entends, je juge; et mon jugement est juste, parce que je ne cherche pas ma volonté, mais la volonté de celui qui m`a envoyé.","Mënumaa def dara man ci sama bopp. Ni ma Baay bi di digale rekk laay àttee, te sama àtte bu jub la, ndaxte defuma sama bëgg-bëgg, ci waawi ki ma yónni doŋŋ laay aw."
"Si c`est moi qui rends témoignage de moi-même, mon témoignage n`est pas vrai.","«Su ma seedeelee sama bopp, sama wax du am maana."
"Il y en a un autre qui rend témoignage de moi, et je sais que le témoignage qu`il rend de moi est vrai.","Waaye keneen moo may seedeel, te bir na ma ne, la muy wax ci man dëgg la."
"Vous avez envoyé vers Jean, et il a rendu témoignage à la vérité.","«Yéen yónni ngeen ay ndaw ci Yaxya, te seede na dëgg."
"Pour moi ce n`est pas d`un homme que je reçois le témoignage; mais je dis ceci, afin que vous soyez sauvés.","Man ci sama bopp soxlawuma seedes nit; waaye nag damay wax loolu rekk, ngir ngeen mucc."
"Jean était la lampe qui brûle et qui luit, et vous avez voulu vous réjouir une heure à sa lumière.","Yaxya meloon na ni làmp buy tàkk tey leeral, te nangu ngeen a bànneexu ab diir ci leeram."
"Moi, j`ai un témoignage plus grand que celui de Jean; car les oeuvres que le Père m`a donné d`accomplir, ces oeuvres mêmes que je fais, témoignent de moi que c`est le Père qui m`a envoyé.","«Waaye yor naa ci man seede su gën a mag si ma Yaxya di seedeel: maa ngi def jëf, yi ma Baay biy sant. Jëf yooyu may def nag ñooy seede ne, Baay bi moo ma yónni."
"Et le Père qui m`a envoyé a rendu lui-même témoignage de moi. Vous n`avez jamais entendu sa voix, vous n`avez point vu sa face,","Te Baay bi ma yónni, moom itam seede na ma. Musuleen a dégg baatam te musuleen a gis xar-kanamam,"
"et sa parole ne demeure point en vous, parce que vous ne croyez pas à celui qu`il a envoyé.","te kàddoom saxul ci yéen, ndaxte gëmuleen ki mu yónni."
"Vous sondez les Écritures, parce que vous pensez avoir en elles la vie éternelle: ce sont elles qui rendent témoignage de moi.","Yéena ngi gëstu Mbind yi, ndaxte dangeen cee yaakaar dund gu dul jeex. Mbind yooyu nag far, ci sama mbir lañuy wax;"
Et vous ne voulez pas venir à moi pour avoir la vie!,te bëgguleen a ñëw ci man ngir am dund!
Je ne tire pas ma gloire des hommes.,«Wutuma tagg yu jóge ci nit.
Mais je sais que vous n`avez point en vous l`amour de Dieu.,"Waaye yéen, xam naa leen; leer na ma ne, amuleen ci seen xol benn mbëggeel ci Yàlla."
"Je suis venu au nom de mon Père, et vous ne me recevez pas; si un autre vient en son propre nom, vous le recevrez.","Man ñëw naa ci sama turu Baay, te nanguwuleen ma, waaye bu keneen dikkee ci turu boppam, ngeen nangu ko."
"Comment pouvez-vous croire, vous qui tirez votre gloire les uns des autres, et qui ne cherchez point la gloire qui vient de Dieu seul?","Bëgg ngeen ku leen di tagg, te wutuleen ngërëm, li jóge ci jenn Yàlla rekk ji am. Kon nan ngeen man a gëme?"
"Ne pensez pas que moi je vous accuserai devant le Père; celui qui vous accuse, c`est Moïse, en qui vous avez mis votre espérance.","«Buleen xalaat ne, maa leen di jiiñ dara ci sama kanamu Baay. Musaa, mi ngeen yaakaar, moo leen di booleek moom."
"Car si vous croyiez Moïse, vous me croiriez aussi, parce qu`il a écrit de moi.","Bu ngeen gëmoon Musaa, dingeen ma gëm man itam, ndaxte seedeel na ma."
"Mais si vous ne croyez pas à ses écrits, comment croirez-vous à mes paroles?","Waaye su fekkee gëmuleen li Musaa bind, kon nu ngeen man a gëme samay wax?»"
"Après cela, Jésus s`en alla de l`autre côté de la mer de Galilée, de Tibériade.","Gannaaw loolu Yeesu dafa jàll dexu Galile, maanaam dexu Tiberyàdd."
"Une grande foule le suivait, parce qu`elle voyait les miracles qu`il opérait sur les malades.","Mbooloo mu bare topp ci moom, ndaxte gisoon nañu firnde yooyee mu wone, bi mu wéralee jarag ya."
"Jésus monta sur la montagne, et là il s`assit avec ses disciples.","Yeesu daldi yéeg ca kaw tund wa, toog fa ak ay taalibeem."
"Or, la Pâque était proche, la fête des Juifs.","Fekk na booba bésu Jéggi ba, di màggalu Yawut ya, jubsi."
"Ayant levé les yeux, et voyant qu`une grande foule venait à lui, Jésus dit à Philippe: Où achèterons-nous des pains, pour que ces gens aient à manger?","Bi Yeesu xoolee, gis mbooloo mu réy di ñëw ci moom, mu ne Filib: «Fu nuy jële mburu, mu nu leen man a dundale?»"
"Il disait cela pour l`éprouver, car il savait ce qu`il allait faire.","Bi muy wax loolu it, da doon seetlu Filib, ndaxte xamoon na booba li mu nar a def."
Philippe lui répondit: Les pains qu`on aurait pour deux cents deniers ne suffiraient pas pour que chacun en reçût un peu.,"Filib ne ko: «Peyug juróom ñetti weer sax, bu nu ko amoon, du leen man a doy ci mburu, ba kenn ku nekk ci ñoom am ci dog wu ndaw.»"
"Un de ses disciples, André, frère de Simon Pierre, lui dit:","Keneen ca taalibe ya di Andare, mi bokk ak Simoŋ Piyeer ndey ak baay, ne ko:"
Il y a ici un jeune garçon qui a cinq pains d`orge et deux poissons; mais qu`est-ce que cela pour tant de gens?,"«Am na fi ci mbooloo mi ab xale bu yor juróomi mburu ak ñaari jën, waaye loolu lu muy jariñ mbooloo mu tollu nii?»"
"Jésus dit: Faites-les asseoir. Il y avait dans ce lieu beaucoup d`herbe. Ils s`assirent donc, au nombre d`environ cinq mille hommes.",Yeesu daldi ne taalibe ya: «Na ñépp toog.» Fekk ñax mu bare amoon ca bérab ba. Noonu góor ñépp àgg suuf. Waroon nañoo mat juróomi junni.
"Jésus prit les pains, rendit grâces, et les distribua à ceux qui étaient assis; il leur donna de même des poissons, autant qu`ils en voulurent.","Yeesu daldi jël mburu ya, gërëm Yàlla, ba noppi séddale ko ña fa toogoon. Mu jox leen itam jën, ba ñu doyal sëkk."
"Lorsqu`ils furent rassasiés, il dit à ses disciples: Ramassez les morceaux qui restent, afin que rien ne se perde.","Bi ñu lekkee ba regg, Yeesu ne taalibe ya: «Dajaleleen desitu mburu mi, ba dara du ci réer.»"
"Ils les ramassèrent donc, et ils remplirent douze paniers avec les morceaux qui restèrent des cinq pains d`orge, après que tous eurent mangé.","Ñu dajale ko, daldi feesal fukki pañe ak ñaar ak desiti juróomi mburu, yi ñu doon lekk."
"Ces gens, ayant vu le miracle que Jésus avait fait, disaient: Celui-ci est vraiment le prophète qui doit venir dans le monde.","Bi nit ña gisee firnde jooju Yeesu wone, ñu ne: «Dëgg-dëgg kii mooy Yonent, bi war a ñëw ci àddina!»"
"Et Jésus, sachant qu`ils allaient venir l`enlever pour le faire roi, se retira de nouveau sur la montagne, lui seul.","Yeesu gis ne dañu koo nar a jëlsi, fal ko buur. Mu bàyyi leen fa, dellu moom rekk ca tund wa."
"Quand le soir fut venu, ses disciples descendirent au bord de la mer.","Bi timis jotee taalibeem ya wàcc ca tefes ga,"
"Étant montés dans une barque, ils traversaient la mer pour se rendre à Capernaüm. Il faisait déjà nuit, et Jésus ne les avait pas encore rejoints.","dugg ci gaal, di jàll dex gi, jëm dëkku Kapernawum. Booba guddi woon na, te Yeesu agseegul ci ñoom."
"Il soufflait un grand vent, et la mer était agitée.","Dex gi yengu na lool, ndaxte da doon ngelaw ak doole."
"Après avoir ramé environ vingt-cinq ou trente stades, ils virent Jésus marchant sur la mer et s`approchant de la barque. Et ils eurent peur.","Bi ñu joowee lu war a tollook juróom benni kilomet, ñu séen Yeesu, muy dox ci kaw dex gi, jëm ci ñoom, ñu daldi tiit."
Mais Jésus leur dit: C`est moi; n`ayez pas peur!,"Waaye Yeesu ne leen: «Man la, buleen tiit!»"
"Ils voulaient donc le prendre dans la barque, et aussitôt la barque aborda au lieu où ils allaient.","Noonu ñu nangu koo dugal ca gaal ga, gaal ga daldi teer ca saa sa ca fa ñu bëggoon a wàcc."
"La foule qui était restée de l`autre côté de la mer avait remarqué qu`il ne se trouvait là qu`une seule barque, et que Jésus n`était pas monté dans cette barque avec ses disciples, mais qu`ils étaient partis seuls.","Ca ëllëg sa mbooloo, ma des ca geneen wàllu dex ga, gis ne genn gaal ga fa nekkoon rekk dem na. Xam nañu ne Yeesu bokku ko woon ak taalibe ya, ndaxte ñoom rekk a àndoon."
"Le lendemain, comme d`autres barques étaient arrivées de Tibériade près du lieu où ils avaient mangé le pain après que le Seigneur eut rendu grâces,","Waaye yeneen gaal yu jóge dëkku Tiberyàdd ñëw, teer ca wetu fa ñu lekke woon mburu ma, gannaaw bi Boroom bi santee Yàlla ba noppi."
"les gens de la foule, ayant vu que ni Jésus ni ses disciples n`étaient là, montèrent eux-mêmes dans ces barques et allèrent à Capernaüm à la recherche de Jésus.","Bi mbooloo ma gisee ne, Yeesu walla taalibe ya kenn nekkatu fa, ñu dugg ca gaal yooyu, dem seeti ko Kapernawum."
"Et l`ayant trouvé au delà de la mer, ils lui dirent: Rabbi, quand es-tu venu ici?","Bi ñu fekkee Yeesu ca geneen wàllu dex ga, ñu ne ko: «Kilifa gi, kañ nga fi ñëw?»"
"Jésus leur répondit: En vérité, en vérité, je vous le dis, vous me cherchez, non parce que vous avez vu des miracles, mais parce que vous avez mangé des pains et que vous avez été rassasiés.","Yeesu ne leen: «Ci dëgg-dëgg maa ngi leen koy wax, firnde yi ngeen gis taxul ngeen may seet. Yéena ngi may wër ndax mburu, mi ngeen lekk ba suur."
"Travaillez, non pour la nourriture qui périt, mais pour celle qui subsiste pour la vie éternelle, et que le Fils de l`homme vous donnera; car c`est lui que le Père, que Dieu a marqué de son sceau.","Buleen liggéeyal ñam wuy yàqu; li gën mooy ñam wu sax abadan tey joxe dund gu dul jeex. Ñam woowule, Doomu nit ki dina leen ko jox, ndaxte moom la Yàlla Baay bi tànn, mu nekk ndawam.»"
"Ils lui dirent: Que devons-nous faire, pour faire les oeuvres de Dieu?","Noonu ñu laaj ko ne: «Lu nu war a liggéey, ngir matal jëf yi neex Yàlla?»"
"Jésus leur répondit: L`oeuvre de Dieu, c`est que vous croyiez en celui qu`il a envoyé.","Yeesu tontu leen ne: «Jëf ji neex Yàlla, moo di gëm ki mu yónni.»"
"Quel miracle fais-tu donc, lui dirent-ils, afin que nous le voyions, et que nous croyions en toi? Que fais-tu?","Ñu ne ko: «Ban firnde nga nu man a won, ngir nu gëm la? Ban liggéey nga nar a def?"
"Nos pères ont mangé la manne dans le désert, selon ce qui est écrit: Il leur donna le pain du ciel à manger.","Sunuy maam dunde nañu mànn ca màndiŋ ma, ndaxte Mbind mi nee na: “Jox na leen, ñu lekk ñam wu wàcce ca asamaan.”»"
"Jésus leur dit: En vérité, en vérité, je vous le dis, Moïse ne vous a pas donné le pain du ciel, mais mon Père vous donne le vrai pain du ciel;","Yeesu waxaat ne: «Ci dëgg-dëgg maa ngi leen koy wax, du Musaa moo leen jox ñam woowu wàcce ca asamaan; sama Baay ci boppam, moo leen di jox ñam wu wóor, wi wàcce ca asamaan."
"car le pain de Dieu, c`est celui qui descend du ciel et qui donne la vie au monde.","Ndaxte ñam, wi Yàlla di joxe, mooy ñam wiy wàcce ci asamaan tey jox àddina si dund.»"
"Ils lui dirent: Seigneur, donne-nous toujours ce pain.","Ñu ne ko nag: «Sang bi, kon dee nu faral di jox ci ñam woowe!»"
"Jésus leur dit: Je suis le pain de vie. Celui qui vient à moi n`aura jamais faim, et celui qui croit en moi n`aura jamais soif.","Yeesu tontu leen ne: «Man maay ñam wiy joxe dund. Ku ñëw ci man, doo xiif mukk; te ku ma gëm, doo mar."
"Mais, je vous l`ai dit, vous m`avez vu, et vous ne croyez point.",Waaye wax naa leen ko ba noppi; gis ngeen ma te taxul ngeen gëm!
"Tous ceux que le Père me donne viendront à moi, et je ne mettrai pas dehors celui qui vient à moi;","Képp ku ma Baay bi jox dina ñëw ci man, te duma dàq mukk ki may fekksi."
"car je suis descendu du ciel pour faire, non ma volonté, mais la volonté de celui qui m`a envoyé.","Ndaxte wàccewuma ci asamaan ngir def sama bëgg-bëgg, waaye damay matal bëgg-bëggu ki ma yónni."
"Or, la volonté de celui qui m`a envoyé, c`est que je ne perde rien de tout ce qu`il m`a donné, mais que je le ressuscite au dernier jour.","Lii mooy bëgg-bëggu ki ma yónni: bu ma ñàkk kenn ci ñi mu ma may, te dafa bëgg it ma dekkal leen keroog bés bu mujj ba."
"La volonté de mon Père, c`est que quiconque voit le Fils et croit en lui ait la vie éternelle; et je le ressusciterai au dernier jour.","Ndaxte lii mooy bëgg-bëggu Baay bi: képp ku gis Doom ji te gëm ko, am dund gu dul jeex, te bés bu mujj ba, dinaa ko dekkal!»"
"Les Juifs murmuraient à son sujet, parce qu`il avait dit: Je suis le pain qui est descendu du ciel.","Yawut ya tàmbali di ñurumtoo Yeesu, ndaxte dafa ne: «Maay ñam wi wàcce ci asamaan.»"
"Et ils disaient: N`est-ce pas là Jésus, le fils de Joseph, celui dont nous connaissons le père et la mère? Comment donc dit-il: Je suis descendu du ciel?","Ñu naan: «Ndax kii du Yeesu, doomu Yuusufa? Xam nanu ndeyam ak baayam. Kon nag lu tax léegi mu naan, mi ngi jóge asamaan?»"
Jésus leur répondit: Ne murmurez pas entre vous.,Yeesu ne leen: «Bàyyileen seen ñurumtu bi.
"Nul ne peut venir à moi, si le Père qui m`a envoyé ne l`attire; et je le ressusciterai au dernier jour.","Kenn mënul a ñëw ci man te Baay, bi ma yónni, xiirtalu la ci, te man dinaa la dekkal keroog bés bu mujj ba."
Il est écrit dans les prophètes: Ils seront tous enseignés de Dieu. Ainsi quiconque a entendu le Père et a reçu son enseignement vient à moi.,"Yonent yi bind nañu kàddu gii: “Yàlla dina leen jàngal ñoom ñépp.” Kon nag ku déglu te nangu waxi Baay bi, dina ñëw ci man."
"C`est que nul n`a vu le Père, sinon celui qui vient de Dieu; celui-là a vu le Père.",Tekkiwul ne kenn mas na gis Baay bi. Ki jóge ci Yàlla doŋŋ a ko gis.
"En vérité, en vérité, je vous le dis, celui qui croit en moi a la vie éternelle.","Ci dëgg-dëgg maa ngi leen koy wax, ku gëm am nga dund gu dul jeex."
Je suis le pain de vie.,Maay ñam wiy joxe dund.
"Vos pères ont mangé la manne dans le désert, et ils sont morts.","Seeni maam lekk nañu mànn ca màndiŋ ma, teewul dee nañu."
"C`est ici le pain qui descend du ciel, afin que celui qui en mange ne meure point.","Waaye ñam wiy wàcce ci asamaan, ku ko lekk, doo dee."
"Je suis le pain vivant qui est descendu du ciel. Si quelqu`un mange de ce pain, il vivra éternellement; et le pain que je donnerai, c`est ma chair, que je donnerai pour la vie du monde.","Man maay ñam wiy dund te wàcce ci asamaan. Ku lekk ci ñam wii, dinga dund ba fàww. Te it ñam wi may joxeji, sama yaram la; dama koy joxe ngir àddina man a dund.»"
"Là-dessus, les Juifs disputaient entre eux, disant: Comment peut-il nous donner sa chair à manger?","Noonu Yawut ya werante werante bu tàng ci seen biir naan: «Naka la nu waa jii man a joxe yaramam, ngir nu lekk ko?»"
"Jésus leur dit: En vérité, en vérité, je vous le dis, si vous ne mangez la chair du Fils de l`homme, et si vous ne buvez son sang, vous n`avez point la vie en vous-mêmes.","Yeesu ne leen: «Dëgg-dëgg maa ngi leen koy wax, bu ngeen lekkul yaramu Doomu nit ki te naanuleen deretam, dungeen am dund ci yéen."
Celui qui mange ma chair et qui boit mon sang a la vie éternelle; et je le ressusciterai au dernier jour.,"Ku lekk sama yaram te naan sama deret, am nga dund gu dul jeex, te dinaa la dekkal keroog bés bu mujj ba."
"Car ma chair est vraiment une nourriture, et mon sang est vraiment un breuvage.","Ndaxte sama yaram mooy ñam wu wóor wi, te sama deret mooy naan gu wóor gi."
"Celui qui mange ma chair et qui boit mon sang demeure en moi, et je demeure en lui.","Kiy lekk sama yaram tey naan sama deret dina sax ci man, ma dëkk ci moom."
"Comme le Père qui est vivant m`a envoyé, et que je vis par le Père, ainsi celui qui me mange vivra par moi.","Baay bi ma yónni mu ngi dund, te maa ngi dund jaarale ko ci moom; noonu itam ku may lekk dina dund jaarale ko ci man."
C`est ici le pain qui est descendu du ciel. Il n`en est pas comme de vos pères qui ont mangé la manne et qui sont morts: celui qui mange ce pain vivra éternellement.,"Kon nag ñam, wi wàcce ci asamaan a ngi noonu; bokkul ak ñam, wa seeni maam lekkoon te faatu. Ku lekk ñam wii may wax dinga dund ba fàww.»"
"Jésus dit ces choses dans la synagogue, enseignant à Capernaüm.","Baat yooyu la Yeesu wax, bi mu doon jàngale ca jàngu ba ca Kapernawum."
"Plusieurs de ses disciples, après l`avoir entendu, dirent: Cette parole est dure; qui peut l`écouter?","Bi ñu dégloo Yeesu ba noppi, taalibeem yu bare nee nañu: «Njàngale mii de, jafe na! Kan moo ko man a déglu?»"
"Jésus, sachant en lui-même que ses disciples murmuraient à ce sujet, leur dit: Cela vous scandalise-t-il?","Yeesu gis ne taalibeem yaa ngi ñurumtoo loolu, mu ne leen: «Ndax li ma wax da leen a jaaxal?"
Et si vous voyez le Fils de l`homme monter où il était auparavant?...,"Lan mooy am nag, bu fekkee gis ngeen Doomu nit ki dellu, yéeg fa mu jëkkoon a nekk?"
C`est l`esprit qui vivifie; la chair ne sert de rien. Les paroles que je vous ai dites sont esprit et vie.,"Xelu Yàlla mi mooy joxe dund; ñam wi jariñul dara. Kàddu yi ma leen wax, ci Xelum Yàlla lañu jóge te ñooy joxe dund."
"Mais il en est parmi vous quelques-uns qui ne croient point. Car Jésus savait dès le commencement qui étaient ceux qui ne croyaient point, et qui était celui qui le livrerait.",Waaye am na ci seen biir ñu ko gëmul.» Ndaxte Yeesu xamoon na ca njàlbéen ga ñan ñoo ko waroon a gëmadi ak kan moo ko waroon a wor.
